time_numeric,Sea_Ice_Concentration,NAO,AO,ENSO,solar_radiation,Central Arctic,Chukchi Sea,East Siberian Sea,Beaufort Sea,Canadian Archipelago,Laptev Sea,Kara Sea,Barents Sea
1984.166667,-0.0040343,-1.32,-1.819,-1.9,18590.55,0.011850927,-0.022201788,0.007727784,-0.001617512,-0.003094474,0.000707495,-0.020965614,0.017120474
1984.25,-0.00033945,0.57,0.454,-1.63,32786.44,0.000339243,-0.009021711,-0.001768279,0.016686636,-0.004051337,0.005707495,-0.000896842,0.020470046
1984.333333,0.00041515,0.61,0.92,-1.63,11733.06,-0.009319903,0.0089553,0.00183802,0.00785023,-0.008048485,0.020466179,-0.007365614,-0.029379855
1984.416667,-0.0019913,-1.41,-0.306,-1.44,-21720.3,0.006551974,-0.071933589,-0.020785152,0.011700461,-0.002160428,0.051360146,-0.02229193,-0.017924951
1984.5,-0.00665035,-1.26,-0.112,-0.39,14160.24,-0.010489927,-0.149535121,-0.024994376,-0.003156682,-0.029665597,0.05125777,-0.066924912,-0.015910467
1984.583333,-0.00352946,-0.46,-0.632,0.03,5978.72,-0.042085415,-0.107624521,0.066143982,-0.038343318,-0.028529055,0.169073126,-0.053312281,-0.004863726
1984.666667,-0.00716395,1.29,-0.58,0.18,-3033.11,-0.059846898,-0.212469987,0.007424072,-0.102103687,0.010653832,0.071394881,-0.030110877,-0.000907176
1984.75,-0.0101623,-0.72,-1.639,0.49,-542.981,-0.049686543,-0.218891443,-0.063230596,-0.079407834,-0.015428164,0.00326691,-0.027070877,-0.011545754
1984.833333,-0.00846375,0.92,-0.278,0.1,-773.975,-0.041640612,-0.172436782,-0.044965129,-0.013476959,-0.004011408,-0.005915905,0.02989614,-0.094564845
1984.916667,-0.00370574,-0.29,0.26,-0.31,-36.6929,-0.041197421,0.055994891,-0.001509561,-0.000882488,0.000537611,0.000725777,-0.015181754,-0.134046083
1985,0.0006866,-3.27,-3.711,-0.49,690.6074,-0.036154714,0.053295019,0.004762655,0.006930876,0.001490196,-0.00623766,0.004009825,-0.009246873
1985.083333,0.0035773,-1.21,-1.137,-0.53,5547.514,-0.007008864,0.037455939,0.004935883,0.007582949,-0.000517647,0.006702011,0.036832281,0.110210665
1985.166667,0.0025685,0.57,2.937,-0.27,-3074.75,-0.019381144,0.029047254,-0.009871766,0.009320276,-0.002164706,-0.001632541,0.014252632,-0.004995392
1985.25,0.0044783,0.6,0.936,-0.5,-6176,0.000960516,0.020998723,0.00351856,0.006175115,0.000534759,-0.002040219,0.003128421,0.063728769
1985.333333,0.00453715,-1.03,-0.911,-0.3,2023.3,0.012353747,0.015736909,0.010614173,-0.004753456,-0.007525134,-0.004210238,0.003285614,0.085861751
1985.416667,-0.00151584,-0.38,-0.354,-0.01,-145.2,-0.006290089,0.075555556,-0.002116985,-0.015930876,-0.004999643,-0.056184644,-0.059361404,0.07236208
1985.5,-0.00352341,1.29,-0.409,-0.24,15537.76,-0.01343191,0.08456705,-0.039754781,0.01309447,-0.013408913,-0.070603291,-0.002807018,0.019436471
1985.583333,-0.00103094,-1.63,-0.467,-0.32,22929.41,0.004087027,0.070740741,-0.054049494,0.108082949,0.00329697,-0.076391225,-0.022098246,0.00235023
1985.666667,0.00152645,-0.69,0.527,-0.36,14978.11,0.023549557,0.117925926,0.039185602,0.079004608,-0.019023173,-0.062908592,-0.011500351,0.001090191
1985.75,0.00243225,0.97,1.305,0.18,-570.41,0.041005641,0.180893997,0.056609674,0.072640553,0.004901248,-0.087654479,-0.082773333,0.020097433
1985.833333,0.00232316,-0.61,-0.252,0.82,942.745,0.034995165,0.128544061,0.010215973,-0.000364055,0.00377041,-0.001,-0.087417544,0.067274523
1985.916667,-0.0004807,0.22,-2.394,0.93,307.1324,0.033270749,-0.018613027,-0.070564679,0.001592166,0.001267736,-0.002488117,0.009710877,0.095454905
1986,0.00189104,2.72,2.238,0.5,-690.011,0.035420629,-0.004819923,-0.04176378,0.003751152,-0.000975401,0.003893967,0.017830175,0.081864384
1986.083333,0.0011392,-0.51,-1.464,0.01,2041.776,0.018175665,0.013065134,-0.02215973,-0.005672811,-0.004119786,-0.002846435,-0.007646316,0.013013825
1986.166667,-0.000104,1.51,1.38,0.37,-6638.59,0.020762288,-0.007501916,-0.024503937,-0.016301843,-0.005658467,-0.006440585,-0.000491228,0.043349572
1986.25,-0.006269,-0.91,-0.549,0.85,-2762.25,0.003979049,-0.015453384,-0.031212598,-0.022870968,-0.006455615,-0.003016453,-0.006964211,-0.028670178
1986.333333,-0.0071994,1.34,0.799,0.5,-14123.4,0.00164303,-0.049100894,-0.02352081,-0.023343318,-0.001317647,-0.005775137,0.00965193,0.016541145
1986.416667,5.11E-05,2.02,0.882,0.6,1795.96,0.023804996,-0.188332056,-0.079658043,0.017177419,-0.000975401,0.019153565,0.09445193,0.015556287
1986.5,0.0072118,-1.1,0.382,0.63,-3177.1,0.044128928,-0.151680715,-0.099547807,0.042958525,0.03933975,0.080493601,0.101427368,0.02961027
1986.583333,0.004638,-0.61,-0.825,0.88,61.5,0.045739726,-0.133739464,-0.138827897,-0.041631336,0.087184314,0.057674589,0.104717193,0.004330481
1986.666667,0.0054283,-0.6,-0.137,1.23,5371.95,0.047554392,-0.158206897,-0.068953881,-0.118808756,0.09236221,0.126541133,0.134649825,0.006595128
1986.75,0.00808085,0.65,0.39,1.3,2854.735,0.012734085,-0.074500639,-0.007147357,-0.068285714,0.039636364,0.082809872,0.170261053,0.02439763
1986.833333,0.00523109,2.96,2.144,1.38,-749.557,-0.013721998,-0.14658493,0.005883015,-0.017308756,0.007689127,0.007228519,0.043292632,-0.002483213
1986.916667,0.0033899,0.77,2.008,1.53,-89.2484,-0.013022562,0.001951469,0.079435321,-0.026119816,0.001638503,0.008473492,-0.009367018,0.009782752
1987,0.0001424,-2.26,-0.58,1.8,183.3596,-0.031241741,0.006676884,0.046735658,-0.028910138,0.004663102,-0.005923218,-0.014446316,-0.048959842
1987.083333,0.00421964,0.27,1.431,1.84,-4415.413,-0.012741338,-0.00258493,0.031507312,-0.020942396,0.013033868,0.004157221,0.009035789,0.068304147
1987.166667,-0.0003482,-1.57,-3.677,1.4,8368.71,-0.009258662,0.006804598,0.032661417,-0.016336406,0.014387166,0.005263254,0.012458947,0.073104674
1987.25,0.0033607,2.59,0.284,0.91,-8118.88,-0.009411765,0.011527458,0.032546682,0.0025553,0.012049911,-0.001884826,0.006922105,0.100201448
1987.333333,0.00323106,0.13,-0.042,1.15,17689.4,-0.011489927,0.032500639,0.023408324,0.004914747,0.016899822,0.006473492,-0.013712281,-0.00154707
1987.416667,0.00474686,-3.04,-1.245,1.23,-13305.86,-0.007746172,0.12959387,0.093689539,-0.079963134,0.019793226,0.025628885,-0.007767018,0.026483213
1987.5,-0.00075978,0.4,-0.458,1.4,-7644.66,-0.00021112,0.094899106,0.097228346,-0.228536866,0.007998574,-0.010349177,-0.026433684,0.023203423
1987.583333,-0.004791,0.26,-0.01,1.25,5895.59,0.017768735,0.027660281,-0.00584027,-0.195979263,-0.049430303,-0.057798903,-0.059132632,0.008618828
1987.666667,0.00033746,-0.1,0.31,1.12,-2196.26,0.016843674,0.162715198,0.050263217,0.003460829,-0.044322282,-0.018879342,-0.101263158,0.003203423
1987.75,-0.0025373,-1.41,-1.505,0.43,354.062,0.031895246,-0.024393359,-0.015473566,-0.145714286,-0.02742246,0.00252468,-0.032495439,0.045312706
1987.833333,-0.00049575,-2.11,-1.462,0.06,-183.571,0.033913779,0.09801788,0.037052868,0.024274194,-0.015887344,0.006137112,0.028310175,0.03914944
1987.916667,-0.0069227,-0.67,-0.594,-0.18,-129.6711,0.038834005,0.055831418,0.021685039,0.04906682,-0.001979323,-0.001471664,-0.105209825,-0.070604345
1988,0.00414656,2.17,1.413,-0.24,-855.7529,0.049926672,0.007816092,0.010749156,0.041428571,0.001842424,0.008632541,-0.000115088,0.026026333
1988.083333,-0.00382424,1.49,0.407,-0.85,-2009.157,0.027337631,2.30E-05,0.00447919,0.031767281,-0.006971836,0.001021938,0.003056842,-0.066172482
1988.166667,0.0028984,-0.31,1.549,-0.88,-271.51,0.025724416,0.017846743,0.00752081,0.032400922,-0.006004991,0.007526508,-0.001928421,-0.041429888
1988.25,-0.0004998,-3.17,-0.948,-1.02,29694.28,0.025825141,0.003550447,0.001736783,0.009230415,-0.011761854,0.00697989,0.008436491,-0.067348255
1988.333333,-0.00487536,-0.35,-1.171,-1.87,2010.8,-0.003210314,-0.018842912,-0.020416198,-0.006186636,-0.025752585,-0.030422303,-0.003745965,-0.031791968
1988.416667,-0.00680386,2.7,0.771,-2.66,-1492.26,-0.019059629,0.047139208,-0.003547807,0.025864055,-0.048081283,-0.076703839,-0.055212632,-0.050863726
1988.5,-0.00525706,-0.87,0.323,-3.03,30587.16,-0.01286946,0.050127714,0.00687964,0.067202765,-0.054814973,-0.100219378,-0.05445193,-0.021608953
1988.583333,-0.0006745,0.87,1.091,-2.76,-23007.87,-0.02895971,0.065417625,0.073617548,0.012509217,-0.041825312,-0.039447898,0.022728421,0.00637788
1988.666667,-0.00315296,0.23,0.752,-2.65,-7838.32,-0.026521354,0.017065134,-0.114911136,-0.058357143,-0.04002139,-0.032670932,0.066394386,0.013697169
1988.75,0.00019155,-1.22,0.112,-3.14,1744.727,-0.01051249,0.087471264,-0.087734533,0.157290323,-0.072664528,-0.022159049,0.071134035,0.021635286
1988.833333,0.00207885,-0.52,0.501,-3.12,325.909,0.00649718,0.048845466,-0.018132733,0.034186636,0.011490909,-0.005034735,0.047615439,0.084882159
1988.916667,0.0136145,0.29,2.213,-2.9,60.707,0.006414988,0.002464879,-0.012571429,0.000205069,0.010959002,-0.016771481,0.112151579,0.141811718
1989,-4.79E-05,0.15,2.841,-2.87,134.8963,0.005593876,0.013417625,-0.018492688,-0.000615207,0.006599643,-0.007557587,0.011184561,0.04037393
1989.083333,-0.003056,1.24,4.345,-1.75,2034.72,0.004721193,-0.050962963,-0.019723285,-0.021417051,0.005645633,-0.003588665,0.00450386,0.022845293
1989.166667,-0.00810955,2.02,1.727,-1.31,-3056.64,-0.002663175,-0.070066411,-0.019667042,-0.026262673,0.001972193,-0.010230347,-0.005605614,-0.048564845
1989.25,-0.0099119,1.45,0.311,-0.64,-16372.46,-0.006246575,-0.054099617,-0.020015748,-0.013640553,0.008276649,-0.004422303,-0.022223158,-0.120566162
1989.333333,-0.0008547,0.75,1.735,0.37,-6957,0.013028203,0.005154534,0.008294713,0.024179724,0.014746524,0.015747715,-0.014863158,-0.080634628
1989.416667,0.0029109,-1.15,0.284,1.15,26256.46,0.015780016,-0.102500639,-0.084438695,0.081004608,0.017341889,0.054096892,0.02277193,0.01323239
1989.5,0.0036746,1.32,1.009,1.17,-28036.04,0.016432716,-0.088970626,-0.150782902,0.11635023,0.011700535,0.096656307,0.052064561,0.022726794
1989.583333,0.0014095,-0.03,0.296,0.66,4721.78,0.006045931,-0.091318008,-0.213622047,0.035698157,0.001404635,0.10050457,0.087578947,0.018030283
1989.666667,-0.0056855,3.04,-0.336,0.7,-1556.64,-0.059153908,-0.16699106,-0.259901012,0.029248848,0.007974332,-0.02825777,0.042586667,0.011764319
1989.75,-0.00626065,1.05,0.959,1.5,-3911.867,-0.076995971,-0.168260536,-0.111097863,-0.101301843,0.062779323,0.009738574,-0.043792281,-0.030277814
1989.833333,-0.00475585,0.5,0.069,1.6,-657.289,-0.058284448,-0.085828863,-0.011966254,-0.020013825,0.009256328,-0.010934186,-0.090586667,-0.096919026
1989.916667,-0.00397963,-1.76,-2.323,1.83,88.0757,-0.03532635,-0.035381865,-0.002888639,-0.009654378,0.003369697,0.010669104,-0.026308772,-0.075766952
1990,-0.00358465,-0.13,-2.105,1.98,-40.495,-0.055136986,0.0020894,0.010299213,-0.005080645,0.007696257,0.005685558,-0.002501053,-0.091608953
1990.083333,0.00163456,-0.59,0.123,1.68,-2096.563,-0.055703465,0.060068966,0.006674916,0.019142857,0.004559002,-0.003478976,-0.014839298,-0.138086899
1990.166667,0.00360545,-0.39,1.46,1.25,-1544.85,-0.026852538,0.061719029,0.002812148,0.026131336,0.00606631,-0.003407678,-0.003957895,-0.016042133
1990.25,-0.00073134,1.72,2.129,1.16,-11826.19,-0.028284448,0.040906769,-0.028440945,0.014866359,0.001470232,-0.013577697,-0.024065965,-0.041877551
